,aristocrats,artisans,bureaucrats,capitalists,clergymen,clerks,craftsmen,farmers,labourers,officers,slaves,soldiers
1872,10713594.9832,188969212.293,1212790.51445,45221509.4348,1218620.02968,72065.90349,1271384.091,24898668.7833,29891591.0968,836966.17209,0.0,106563.9374
1873,10182247.636,47515204.5776,1180856.98922,50957173.089,1377592.95742,62553.81639,1081553.89606,23708981.1642,29416250.4309,856606.94626,0.0,101034.83579
1874,11313879.2852,21405635.878,1419178.25013,62264422.9577,1603442.97942,86681.26645,1439397.30645,25449382.2565,32707384.1612,1281755.34496,0.0,104564.36755
1875,13912869.3853,52514468.7271,2232855.59247,71403399.3588,2021321.60833,110126.6701,2117161.51398,31188397.6716,53953962.7817,1953561.89464,0.0,186124.48355
1876,14196161.5968,37299143.3305,2900306.77881,61073241.4382,2795773.38686,148499.08013,2496261.55405,33911460.0454,45610432.2212,3105680.64877,0.0,177031.76937
1877,14404509.8551,36666131.2936,3285841.78736,61552058.7396,3017810.15151,123932.41106,2260017.81197,33401859.203,44369984.1051,3509980.12748,0.0,171684.86802
1878,14764185.328,43102396.4788,4384553.38655,51056227.85,3589424.90532,76819.20321,2215092.12043,32356297.2668,41730005.7996,3960056.62149,0.0,162363.71003
1879,15310451.7549,79877677.0856,5565737.60509,61681016.4429,2305714.01103,72363.32998,2275758.21347,33712789.4285,44839491.2373,4009239.0591,0.0,163819.97965
1880,15942248.4286,67939035.1918,5994537.5127,66204693.4858,2791237.46485,71417.13991,2177247.79167,34791167.7853,47949346.9424,4265660.69475,0.0,202475.00712
1881,16016607.9536,49429202.7799,5952329.39433,70743737.0977,3395424.36141,71737.31069,2269451.67854,35188495.8462,61240680.6378,3682235.37864,0.0,197057.68413
1882,14943756.7065,38508848.5766,6098455.10927,66721122.415,3710583.26533,59105.55526,1910897.62316,27765234.8334,42081974.634,4018312.98435,0.0,127894.68996
1883,14264983.3894,26918740.7239,1049320.9187,60829652.2442,451211.44522,48465.48949,1791284.0494,28541427.6946,38561356.1456,2778395.08616,0.0,126244.25168
1884,14236790.6754,14978554.0352,233976.98,60417080.7946,187699.29871,54019.33099,1735567.73861,28888755.0993,36934649.8466,1892610.05252,0.0,124715.82895
1885,13145682.8013,7129138.86666,182165.71873,28940067.5237,173621.33433,36058.82668,996816.84283,23369771.9768,34338737.7023,1869226.11854,0.0,152428.32544
1886,13303615.3722,5022568.65107,214125.49971,29609887.8262,155943.19613,43828.70892,1006224.42216,22704208.9414,33412183.911,1851471.71625,0.0,159283.74455
1887,21116209.7675,15194615.7888,1962801.10212,45834790.9088,315436.90518,91834.36252,2883808.23757,35095901.3264,62591826.5984,2381021.49206,0.0,205125.044
1888,21362546.175,112191540.71,6233030.48042,84950517.126,1851759.25425,135926.09902,4158879.33118,39417349.6188,69540489.2713,5375665.68506,0.0,175064.61027
1889,22594007.5642,98744488.6825,7117220.9293,101090682.931,2092068.77011,116829.86136,4305018.18979,39825305.7927,72008477.7633,7069439.48813,0.0,210361.92896
1890,24519555.6424,38137892.5495,5899829.77498,96012440.4874,1037984.89152,128499.80037,4764999.10235,41020833.0415,82222742.9868,6925440.2999,0.0,243026.30675
1891,21775037.2067,18617500.0642,325380.4972,55624532.8853,186557.02821,76397.83904,2328265.82954,29961282.6692,61551077.9601,2504401.06989,0.0,114273.04745
1892,22031197.2237,21370374.9912,315886.14435,35318320.9556,192512.83189,85709.28932,2555253.23839,31071526.1539,58159040.5163,2614961.20377,0.0,102808.72734
1893,37747378.14,43498655.0604,1299802.17261,98955549.0492,300954.6713,173687.64245,6026539.68134,42692881.4764,72370001.6574,3229769.12138,0.0,183013.54604
1894,35208063.6206,44858392.1918,753280.73554,89308492.2849,256184.67498,172360.48595,5734991.19643,41014792.8493,71099181.0438,2807430.20423,0.0,153208.53924
1895,45622134.3867,43190001.253,3012003.38967,123828942.605,291347.84805,175953.66409,5809919.53017,42711238.4648,75706874.5326,4982866.23663,0.0,162391.88298
1896,39261066.5823,26504028.8243,704619.16549,114354395.765,273374.52998,140910.57286,5649907.08166,47336363.8681,82202892.0879,3793539.24272,0.0,212034.90614
1897,24534331.6562,11197569.8104,330168.61112,56498353.2552,187958.77563,92215.10106,3348094.01986,33956397.732,59384338.1821,2150916.87084,0.0,104981.5332
1898,21630282.0816,6676580.00726,249960.23064,38099365.9645,136484.28885,60127.1811,1913378.43027,24630439.622,49808433.5038,1972843.56772,0.0,95266.92975
1899,27085022.6613,8518978.14206,332553.93532,74294870.9735,169611.31673,104878.48543,3034540.68605,32570723.7194,69627624.5786,1343378.23914,0.0,115197.24763
1900,26378123.2425,8008656.7129,317416.12278,74295661.1125,161759.8691,94131.94031,3259020.74149,32673328.4189,69088587.0458,512523.80267,0.0,150260.06615
1901,23609560.4216,6785605.79145,425281.38254,52786185.3538,184090.92946,106872.95833,3007063.77102,30352740.6136,56150359.8431,349408.03667,0.0,108837.07137
1902,23896253.8708,6207324.76605,352155.93824,57588416.516,168709.53311,112933.17963,3072770.90852,30731066.9513,58171309.5425,307548.71321,0.0,109139.29987
1903,24703581.7028,6024322.46888,297267.63078,62569101.3079,165422.20273,112478.91083,3328050.04365,32558746.0213,62584272.9479,330543.48188,0.0,125955.80349
1904,23725088.6172,4463537.82075,280850.94581,57453211.0342,159245.9041,116749.29222,2485944.33948,29732722.281,60013479.1393,297516.53157,0.0,101122.58808
1905,45090739.6458,13939404.1673,607167.04716,142653653.483,264829.6211,271480.16441,8181617.79784,49556264.3127,107473109.612,411826.09488,0.0,151661.14064
1906,40836948.3584,16228446.388,724502.96788,165472975.589,273659.91265,312181.53785,9509373.84291,58688224.5831,110453256.51,585162.58276,0.0,164632.42226
1907,26576321.6715,6162461.526,495585.76432,62937422.2875,215240.89235,175532.68565,3632092.45052,33316828.7432,71607149.597,531254.44263,0.0,103296.73467
1908,24742071.0754,4488897.98217,442761.87999,45973370.0587,223164.32837,152315.0132,2916348.01606,30998224.7878,66661121.6496,530782.16009,0.0,100170.38945
1909,30253085.9192,9606236.60125,478646.69003,54813418.0624,247258.60017,252079.81998,5143223.44217,38643876.0018,79944405.2953,556474.14901,0.0,127584.40916
1910,45944962.5266,12996536.2794,1001816.23793,157040719.862,286053.89788,411969.0672,8819107.1072,58317712.0846,126732182.538,777033.33864,0.0,167004.47718
1911,35255326.9792,6494920.05806,659071.82977,79904842.603,228887.77017,209433.49483,4735002.182,40701016.5876,93460823.2821,395009.61019,0.0,120382.83399
1912,49849949.2007,15149495.9256,1020921.4802,164308236.228,278555.43387,446206.21145,9968325.4813,60665978.5814,138791867.677,539990.65922,0.0,178102.83671
1913,50957282.2262,16070108.2922,984017.01649,168346420.601,272334.19312,448374.74067,10016698.1088,61846931.7423,137538631.981,525173.33799,0.0,180449.9919
1914,49614404.9691,20436388.7994,1140384.74952,189118756.893,301653.07265,543770.98761,11827074.6725,73232407.583,156201594.407,664174.13897,0.0,218218.43738
1915,55170222.0316,17483485.676,646359.67043,187962441.68,284242.01294,500121.16112,12180824.6552,75655787.7435,187033159.651,722119.01157,0.0,220974.47334
1916,54376991.1318,12129821.3473,603870.30867,150288371.907,270645.0332,421023.77305,9448504.2506,71846790.0861,181397251.712,741074.51997,0.0,210202.12746
1917,40794964.6717,5412520.47711,492140.03144,75945901.2471,206594.35123,335110.36053,5671461.59345,42697533.0293,116633274.914,358704.65755,0.0,140854.03848
1918,48592093.5996,13061925.8551,649516.27049,115577721.732,236881.43494,397574.12392,9703484.80178,59261566.4325,153217069.534,379365.15476,0.0,196667.43596
1919,52769894.4885,11670308.3768,725004.02457,135644485.39,263693.78421,352361.31777,9134600.81444,68895810.747,179225567.976,442374.75972,0.0,225940.73604
1920,53791803.7634,12959154.497,730582.37727,142283572.536,256364.12866,430019.63398,10825547.0946,72655649.1763,181207897.186,461103.44379,0.0,235008.89598
1921,55819066.0236,16038971.2418,739733.54043,167657441.217,286387.78025,515742.28354,10303422.442,78637193.1276,167365568.664,469217.71829,0.0,253942.1779
1922,53811606.4617,11360516.9351,704615.08362,126145287.431,226162.73186,342270.46889,7076866.25067,59096689.7167,150026765.616,357690.95121,0.0,199687.39846
1923,39564210.3889,6361936.5905,442175.14261,50133983.8322,181511.46189,169487.46856,3798253.28649,39363388.0687,104057181.1,242522.40227,0.0,142501.13777
1924,47730900.7769,7426238.52423,482053.1781,47844675.3103,213350.07877,211241.68951,4832516.95173,50308984.5693,120082289.009,298712.93852,0.0,170841.14151
1925,49314825.9041,8750968.47659,532993.36003,54490730.1416,219952.92696,255388.61259,5650633.01301,56521223.7016,127432290.758,296509.8217,0.0,186009.17464
1926,70123287.1554,16290830.7593,762771.08238,209709953.807,297171.27341,684267.01927,14122086.0125,83213881.8559,199431154.225,412933.81143,0.0,275945.48718
1927,69769641.5809,14814520.8975,819344.04714,204904362.367,281601.2674,647485.80841,13235858.0784,82351568.1337,201666545.972,419306.05638,0.0,276660.89836
1928,62416623.1306,11470535.0609,790298.52478,141013123.056,252633.85496,457344.84207,9034163.29612,69646042.0366,175594515.728,363013.00961,0.0,255046.00018
1929,59466959.9833,9531457.27887,1025865.45847,91537150.0096,240705.15191,353967.62677,7242506.56939,62815172.3783,161551681.971,348783.82912,0.0,241156.75081
1930,79623769.8458,13878188.1453,852781.42657,214330834.614,292930.32449,673852.10829,12345561.8512,76508590.6092,195674901.488,419850.00672,0.0,268464.68544
1931,74077840.1763,12631729.7724,869491.14313,182231778.337,290195.04449,668078.77975,11805826.033,83075813.9248,195426965.494,443465.93995,0.0,282778.88959
1932,78370813.7261,14433576.915,925293.48046,206880292.457,295107.14159,809436.29333,14754268.2514,86042561.7438,213896442.955,471542.08307,0.0,294472.16356
1933,81709214.6554,12943155.1708,829414.09568,205259611.793,285608.8358,665888.80464,12766425.3402,85795647.3946,220139144.965,462558.34482,0.0,299777.67863
1934,82940567.686,12605538.1161,1003173.98584,169762782.356,305801.64645,711643.47147,12267684.8087,86568417.1312,222047901.589,418013.31278,0.0,290451.60558
1935,83621510.0021,11023525.9611,1005245.30865,191092096.955,290989.99798,730957.59538,12816318.3869,82037275.779,220666029.082,395656.45956,0.0,294907.29062
1936,85602560.4395,11614335.3483,896968.81991,192429115.086,296243.40208,733674.06264,12607642.3786,85915807.7138,223736914.506,369436.68232,0.0,300743.19353
